7,119,303,309	306,3,63,56	58644 |	(2 2 3 3 3 3 181 )
7,162,1190,1191	599,592,676,514	-22475472 |	(2 2 2 2 )
7,317,525,561	543,18,162,155	1239462 |	(2 3 3 3 3 7 1093 )
7,569,1288,1324	1306,18,288,281	7394184 |	(2 2 2 3 3 7 17 863 )
7,578,2064,2079	1043,1036,1321,743	-169553899 |	()
7,1152,22574,22575	11291,11284,11863,10711	-68807558355 |	()
7,1406,1681,1960	1683,277,844,837	188374221 |	(3 3 3 7 996689 )
7,1536,9633,9646	5591,4055,4820,4813	14938843255 |	(233 2063 4273 )
7,3936,13601,13710	8823,4887,6804,6797	65766977271 |	(3 18959 23603 )
7,4868,13945,14140	9504,4636,6976,6969	79607980032 |	(2 2 2 2 2 2 2 2 2 2 2 2 2 )
7,6654,21468,21679	10843,10836,14061,7407	-190455164883 |	()
7,8122,10601,11998	10060,1938,5304,5297	47115169248 |	(2 2 2 2 2 )
8,209,1744,1745	977,768,876,868	66995904 |	(2 2 2 2 2 2 3 348937 )
8,229,236,293	261,32,122,114	483096 |	(2 2 2 3 20129 )
8,705,2242,2265	1485,780,1125,1117	306372375 |	(3 3 3 3 5 5 5 30259 )
8,786,955,1107	1031,76,397,389	19475135 |	(5 23 23 37 199 )
8,2161,4710,4857	3509,1348,2359,2351	3514997957 |	()
8,2626,15847,15871	15859,12,1317,1309	747648471 |	(3 249216157 )
8,4595,49870,49883	27239,22644,24939,24931	1295084693673 |	()
8,7001,7558,9185	8093,1092,3783,3775	17497979733 |	(7789 40841 )
8,7204,25381,25573	25477,96,3606,3598	15525799656 |	(2 2 2 )
8,7355,19492,19835	13595,6240,9750,9742	227203041000 |	(2 2 2 )
8,8635,43916,44027	26331,17696,21962,21954	1679957729880 |	(2 2 2 7 7 73 21859 )
9,55,116,120	118,2,32,23	4296 |	(2 2 2 3 179 )
9,58,255,256	157,99,132,123	297099 |	(3 3 11 3001 )
9,183,220,256	238,18,96,87	217800 |	(2 2 2 3 3 5 5 11 11 )
9,262,2448,2449	1229,1220,1355,1093	-164037305 |	()
9,290,583,606	448,158,296,287	6565440 |	(2 2 2 2 2 2 3 5 7 977 )
9,366,580,625	317,308,473,107	7011609 |	(3 11 179 1187 )
9,550,1322,1353	681,672,936,386	-26525664 |	(2 2 2 2 2 )
9,583,894,970	932,38,296,287	7861920 |	(2 2 2 2 2 3 5 11 1489 )
9,631,642,802	722,80,320,311	9856320 |	(2 2 2 2 2 2 3 5 10267 )
9,815,1767,1823	1795,28,412,403	21809868 |	(2 2 3 41 97 457 )
9,1020,2338,2401	1205,1196,1679,659	-121126119 |	()
9,1322,3124,3201	1605,1596,2223,901	-341161929 |	()
9,1527,4024,4096	4060,36,768,759	145733184 |	(2 2 2 2 2 2 3 3 503 503 )
9,2278,8943,8992	5635,3357,4476,4467	17101125333 |	()
9,2322,4022,4265	2137,2128,3172,850	1165738032 |	(2 2 2 2 3 3 263 30781 )
9,2463,6224,6350	6287,63,1236,1227	615678255 |	(3 3 5 13681739 )
9,2991,9910,10000	9955,45,1500,1491	1104841125 |	(3 3 5 5 5 991 991 )
9,2998,5984,6225	3117,3108,4491,1493	83923479 |	(3 3 3 31 100267 )
9,3503,13878,13952	13915,37,1756,1747	1777269933 |	(3 3 7963 24799 )
9,3664,14367,14446	9055,5391,7188,7179	71104535199 |	()
9,3721,6627,6997	6812,185,1865,1856	2129033040 |	(2 2 2 2 3 5 157 56503 )
9,3743,35328,35342	35335,7,1876,1867	2169260583 |	()
9,3984,14542,14641	7325,7316,9263,5279	-60410376651 |	()
9,4351,52394,52404	52399,5,2180,2171	3410815605 |	()
9,4406,20911,20976	12691,8285,10460,10451	190933738485 |	(11681 167381 )
9,5620,7502,8433	4221,4212,6561,941	34537569831 |	(177831463 *)
9,6442,12206,12777	6393,6384,9324,2882	10364581584 |	(2 2 2 2 110915437 )
9,6480,19198,19441	9725,9716,12839,6359	-129320285139 |	()
9,6582,28444,28561	14285,14276,17513,10931	-439416154239 |	()
9,6642,19927,20170	13406,6764,9968,9959	226095296688 |	(2 2 2 2 )
9,7234,10748,11745	5877,5868,8991,1757	60643100655 |	(513558511 *)
9,7502,9994,11241	5625,5616,8748,1246	82340480016 |	(2 2 2 2 13 3538949 )
9,8223,38290,38416	38353,63,4116,4107	23091454575 |	(5 4933 65543 )
9,8527,48417,48505	48461,44,4268,4259	25751420508 |	(2 2 )
9,8688,17911,18568	13628,4940,8960,8951	198867975360 |	(2 2 2 2 2 2 89 228139 )
10,261,323,372	191,181,292,31	3959877 |	(3 89 14831 )
10,291,648,667	479,188,329,319	8606029 |	(17 47 10771 )
10,321,3320,3321	1821,1500,1665,1655	386029125 |	(3 3 3 5 5 5 23 4973 )
10,723,1277,1350	680,670,1000,277	32808000 |	(2 2 2 2 2 2 3 5 5 5 1367 )
10,783,953,1104	557,547,868,85	105665163 |	(3 821 42901 )
10,928,2153,2209	2181,28,469,459	32227209 |	(3 3 7 23 23 967 )
10,1576,4799,4855	4827,28,793,783	160009245 |	(3 3 5 11 323251 )
10,1691,1965,2316	1163,1153,1828,137	1101715049 |	(971 1134619 )
10,1985,2447,2822	1416,1406,2216,231	1684747200 |	(2 2 2 2 2 2 3 5 5 350989 )
10,2398,11969,12001	11985,16,1204,1194	567402096 |	(2 2 2 2 3 67 176431 )
10,2913,3896,4377	3645,732,1953,1943	2314362213 |	()
10,3251,5933,6242	3126,3116,4592,1341	2172217392 |	(2 2 2 2 )
10,3861,19763,19812	9911,9901,11812,7951	-136795462323 |	(7 31 2965397 )
10,4384,22367,22423	22395,28,2197,2187	3486777417 |	()
10,4525,15656,15781	10153,5628,7833,7823	100166306205 |	(5323 259639 )
10,5932,10175,10807	10491,316,2971,2961	8643025395 |	(167 257 1237 )
10,6113,13304,13721	9917,3804,6657,6647	79545446853 |	()
10,6336,7289,8625	7957,668,3173,3163	10448791705 |	(36067 51539 )
10,8219,9157,10978	5494,5484,8688,469	130128503088 |	(2 2 2 2 3 3 3 2961769 )
11,15,27,29	28,1,13,2	446 |	(2 223 )
11,237,556,570	563,7,124,113	481295 |	(5 96259 )
11,268,1461,1464	866,598,736,725	55744088 |	(2 2 2 17 23 71 251 )
11,386,4378,4379	2195,2184,2382,1996	-802585704 |	(2 2 2 )
11,493,534,648	591,57,252,241	4604553 |	(3 3 3 170539 )
11,512,1525,1544	1028,516,768,757	98803776 |	(2 2 2 2 2 2 3 47 10949 )
11,607,751,865	808,57,309,298	8759910 |	(2 3 5 291997 )
11,608,3268,3275	1643,1632,1938,1330	-589771752 |	(2 2 2 )
11,1494,3373,3468	2481,987,1692,1681	1262866923 |	(3 3 3 47 995167 )
11,1783,3631,3769	3700,69,897,886	231726426 |	(2 3 23 31 54167 )
11,2549,11728,11768	11748,20,1280,1269	681180480 |	(2 2 2 2 2 2 3 3 5 17 13913 )
11,2614,2710,3355	1683,1672,2662,48	4395781896 |	(2 2 2 5 5 504073 )
11,3268,17252,17291	8651,8640,10260,6992	-89415178560 |	(2 2 2 2 2 2 3 31 79 1657 )
11,5579,17359,17549	17454,95,2795,2784	7192323420 |	(2 2 )
11,7882,21973,22306	15094,7212,10992,10981	316332518448 |	(2 2 2 2 )
11,8962,21906,22395	11203,11192,15434,6472	-137007796904 |	(2 2 2 3 47 382231 )
11,9804,14362,15747	7879,7868,12083,2279	155703279357 |	(3 3 3 40165063 )
12,19,53,54	33,21,36,17	837 |	(3 3 3 31 )
