1987,1888,918,699 : 212 : 8593

1454,1217,1076,295
1454,1217,974,703 : 213 : 8633

2357,2285,1046,268
2357,2285,934,704 : 214 : 8640

1889,1745,1102,446
1913,1745,1102,704 : 215 : 8642

1744,1663,876,321
1744,1663,708,705 : 216 : 8652

1457,1361,830,58
1457,1289,830,724 : 217 : 8864

41350,41337,4054,327
41350,41337,4047,724 : 218 : 8873

5955,5947,852,614
5955,5947,776,726 : 219 : 8884

2473,2374,1185,432
2473,2356,1185,726 : 220 : 8886

2991,2720,1879,18
2991,2720,1842,727 : 221 : 8901

4975,4884,1879,18
4975,4884,1842,727 : 222 : 8902

2991,2720,1842,727
4975,4884,1842,727 : 223 : 8902

4505,4484,1073,334
4505,4478,1073,736 : 224 : 8996

6469,6156,3333,736
30984,30971,3333,736 : 225 : 9004

1879,1746,1087,300
1879,1704,1087,738 : 226 : 9017

1873,1698,1153,522
1873,1698,1081,744 : 227 : 9079

2428,2329,1167,450
2446,2329,1167,744 : 228 : 9080

2833,2446,2001,450
2833,2428,2001,744 : 229 : 9082

3502,3403,1524,93
3502,3403,1461,750 : 230 : 9156

2830,2679,1444,753
2830,2622,1615,753 : 231 : 9194

1878,1660,1175,753
2097,1660,1616,753 : 232 : 9195

4757,4685,1688,166
4757,4685,1636,758 : 233 : 9245

2631,2524,1287,104
2652,2524,1287,761 : 234 : 9279

8637,8097,4841,19
8639,8097,4841,765 : 235 : 9320

4731,4652,1683,766
4805,4652,2141,766 : 236 : 9332

2783,2250,2151,596
2783,2234,2151,768 : 237 : 9347

9797,9788,1373,94
9797,9788,1285,776 : 238 : 9413

1737,1585,984,674
1756,1585,984,783 : 239 : 9474

3722,3707,853,62
3734,3707,853,794 : 240 : 9569

1944,1637,1347,802
31411,31410,1347,802 : 241 : 9670

33445,33312,7629,802
49317,49256,7629,802 : 242 : 9682

3414,3352,1265,471
3426,3352,1265,807 : 243 : 9720

2282,2048,1393,839
13530,13524,1393,839 : 244 : 10048

24529,24516,2857,510
24529,24516,2838,841 : 245 : 10071

2853,2605,1769,207
2853,2605,1704,842 : 246 : 10080

1636,1357,1230,267
1636,1357,1086,843 : 247 : 10090

1829,1550,1213,848
2976,2883,1213,848 : 248 : 10137

13316,12965,5659,848
14501,12965,9544,848 : 249 : 10142

3519,3407,1579,453
3519,3407,1506,850 : 250 : 10156

4571,3752,3478,851
9912,9765,3478,851 : 251 : 10168

1814,1523,1334,397
1814,1523,1220,853 : 252 : 10186

2206,1873,1566,687
2206,1873,1524,855 : 253 : 10200

14470,14457,1996,591
14470,14457,1959,862 : 254 : 10278

22969,22968,1009,822
22969,22968,978,865 : 255 : 10306

3442,3384,1255,369
3442,3366,1255,873 : 256 : 10384

3109,3037,1254,408
3109,3037,1110,876 : 257 : 10412

5613,4710,4154,877
14416,14299,4154,877 : 258 : 10437

7212,7122,2363,877
8061,7122,5450,877 : 259 : 10439

2774,2563,1565,878
10760,10747,1565,878 : 260 : 10448

5412,4805,3606,883
6042,4805,4776,883 : 261 : 10502

10300,10291,1356,717
10300,10291,1293,888 : 262 : 10554

6658,6645,1024,867
6658,6645,1006,891 : 263 : 10569

4712,3938,3499,893
6480,6114,3499,893 : 264 : 10594

2547,2467,1122,458
2547,2467,926,894 : 265 : 10604

2299,2182,1179,498
2299,2182,1011,900 : 266 : 10649

3187,3123,1234,318
3187,3099,1234,900 : 267 : 10650

1842,1681,1140,263
1842,1681,911,906 : 268 : 10700

3410,3084,2123,909
4833,4681,2123,909 : 269 : 10740

1338,1086,1031,265
1464,1086,1031,913 : 270 : 10770

6457,6420,1566,913
6745,6420,3462,913 : 271 : 10778

2427,2302,1275,290
2427,2302,1100,915 : 272 : 10791

16464,15862,7781,915
53025,52969,7781,915 : 273 : 10804

2365,2253,1186,498
2365,2253,1006,918 : 274 : 10822

2341,2098,1485,684
2341,2098,1413,918 : 275 : 10824

2776,2686,1257,303
2776,2650,1257,927 : 276 : 10895

3772,3069,2883,928
5076,4733,2883,928 : 277 : 10913

2082,1888,1143,929
2319,2167,1143,929 : 278 : 10926

1726,1479,1240,33
1726,1479,1033,930 : 279 : 10942

3220,3064,1561,935
3439,3064,2230,935 : 280 : 10997

2828,2711,1316,745
2828,2711,1232,937 : 281 : 11009

2087,1772,1511,424
